epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,22522.7,1.26016,1.65163,1.44347,0.67101,0.57172,0.63482,0.43454,1.05295,1.28959,1.28667,0.000503465,0.000503465,0.000503465
55,22940.4,1.27315,1.63143,1.45199,0.61802,0.55517,0.59456,0.39304,1.17347,1.35372,1.38761,0.000499986,0.000499986,0.000499986
56,23353.2,1.2677,1.62802,1.46603,0.64997,0.60054,0.65273,0.44158,1.10179,1.23458,1.32932,0.000496459,0.000496459,0.000496459
57,23766.8,1.2569,1.60523,1.44574,0.63131,0.59302,0.63035,0.43777,1.03634,1.26702,1.29185,0.000492883,0.000492883,0.000492883
58,24181.4,1.25034,1.58118,1.44393,0.63776,0.58324,0.6302,0.41328,1.19175,1.28477,1.38676,0.000489261,0.000489261,0.000489261
59,24595.4,1.24375,1.59571,1.43689,0.64605,0.58803,0.63582,0.423,1.18339,1.2606,1.37589,0.000485593,0.000485593,0.000485593
60,25010,1.25428,1.59394,1.44816,0.66543,0.61267,0.66829,0.45813,1.08358,1.17898,1.31191,0.000481881,0.000481881,0.000481881
61,25427.2,1.24539,1.57408,1.44255,0.65706,0.63112,0.6777,0.47797,1.02434,1.17139,1.27321,0.000478124,0.000478124,0.000478124
62,25842.5,1.23219,1.586,1.42128,0.65417,0.62438,0.67639,0.47322,1.0285,1.15362,1.27487,0.000474324,0.000474324,0.000474324
63,26259.1,1.23728,1.57387,1.43213,0.69904,0.6384,0.70883,0.49249,1.02319,1.10134,1.26609,0.000470481,0.000470481,0.000470481
64,26679.9,1.2313,1.55325,1.43073,0.65187,0.6204,0.66714,0.4687,1.01979,1.159,1.26793,0.000466598,0.000466598,0.000466598
65,27099.1,1.22223,1.52778,1.4208,0.68326,0.64076,0.70389,0.50993,0.94771,1.07064,1.22647,0.000462674,0.000462674,0.000462674
66,27516.9,1.21388,1.52321,1.42325,0.68671,0.64731,0.70716,0.50263,0.97833,1.0795,1.24168,0.000458711,0.000458711,0.000458711
67,27931.9,1.19627,1.48363,1.40502,0.66266,0.6335,0.6817,0.4832,1.02529,1.12708,1.27361,0.00045471,0.00045471,0.00045471
68,28349.8,1.19757,1.49479,1.40599,0.70888,0.65861,0.73167,0.5337,0.93692,1.01463,1.21873,0.000450671,0.000450671,0.000450671
69,28767.3,1.21448,1.50999,1.42245,0.68656,0.6367,0.70254,0.49203,1.02779,1.10491,1.27102,0.000446596,0.000446596,0.000446596
70,29182.2,1.20669,1.47453,1.41191,0.71647,0.67563,0.74328,0.54404,0.90666,1.00398,1.19962,0.000442485,0.000442485,0.000442485
71,29598.2,1.20599,1.46036,1.41815,0.69982,0.6738,0.72753,0.51834,1.00319,1.04943,1.25373,0.000438341,0.000438341,0.000438341
72,30013.3,1.19609,1.46775,1.3985,0.71933,0.691,0.75283,0.55701,0.89999,0.971,1.19267,0.000434163,0.000434163,0.000434163
73,30431.5,1.19789,1.45249,1.39725,0.70974,0.68611,0.75187,0.54333,0.95847,0.97542,1.23203,0.000429952,0.000429952,0.000429952
74,30847.4,1.17593,1.42641,1.39207,0.70928,0.67607,0.73619,0.52946,0.96658,1.0189,1.23289,0.000425711,0.000425711,0.000425711
75,31262.8,1.19426,1.45302,1.40537,0.70227,0.71007,0.76445,0.55296,0.97611,0.96287,1.23255,0.000421439,0.000421439,0.000421439
76,31678,1.16934,1.418,1.38142,0.72193,0.68144,0.75083,0.5412,0.98103,0.97958,1.2357,0.000417138,0.000417138,0.000417138
77,32093.2,1.17005,1.4142,1.38374,0.74793,0.70002,0.77549,0.56607,0.96119,0.92269,1.22311,0.000412809,0.000412809,0.000412809
78,32509.8,1.15297,1.39453,1.37471,0.73689,0.70932,0.77824,0.56918,0.94597,0.93644,1.20834,0.000408453,0.000408453,0.000408453
79,32923.9,1.15324,1.38394,1.37422,0.75081,0.72089,0.79328,0.5896,0.88978,0.89885,1.18329,0.000404071,0.000404071,0.000404071
80,33340.8,1.15746,1.3899,1.37906,0.70998,0.71158,0.77094,0.57214,0.91383,0.92054,1.19776,0.000399664,0.000399664,0.000399664
81,33752.8,1.14168,1.35755,1.35817,0.7612,0.72087,0.80087,0.60031,0.87612,0.85698,1.17459,0.000395234,0.000395234,0.000395234
